#
# File created on 2021-12-08 23:41:15 EST
#
# U.S. Geological Survey
# 
# This file contains selected water-quality data for stations in the National Water 
# Information System water-quality database.  Explanation of codes found in this file are 
# followed by the retrieved data. 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
# To view additional data-quality attributes, output the results using these options:  
# one result per row, expanded attributes.  Additional precautions are at:
# https://help.waterdata.usgs.gov/tutorials/water-quality-data/help-using-the-water-quality-data-retrieval-system#Data_retrievals_precautions
#
#  agency_cd                  - Agency Code
#  site_no                    - USGS site number
#  sample_dt                  - Begin date
#  sample_tm                  - Begin time
#  sample_end_dt              - End date
#  sample_end_tm              - End time
#  sample_start_time_datum_cd - Time datum
#  tm_datum_rlbty_cd          - Time datum reliability code
#  coll_ent_cd                - Agency Collecting Sample Code
#  medium_cd                  - Sample Medium Code
#  tu_id                      - Taxonomic unit code
#  body_part_id               - Body part code
#  parm_cd                    - Parameter code
#  remark_cd                  - Remark code
#  result_va                  - Parameter value
#  val_qual_tx                - Result value qualifier code
#  meth_cd                    - Method code
#  dqi_cd                     - Data-quality indicator code
#  rpt_lev_va                 - Reporting level
#  rpt_lev_cd                 - Reporting level type
#  lab_std_va                 - Lab standard deviation
#  anl_ent_cd                 - Analyzing entity code
#
# The following parameters are included:
#  00572  - Biomass, periphyton, ash weight, grams per square meter
#  00573  - Biomass, periphyton, dry weight, grams per square meter
#  32226  - Chlorophyll b, periphyton, spectrophotometric method, uncorrected, milligrams per square meter
#  32228  - Chlorophyll a, periphyton, spectrophotometric method, uncorrected, milligrams per square meter
#  32318  - Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter
#  32320  - Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)
#  49954  - Biomass, periphyton, ash free dry mass, grams per square meter
#  60050  - Phytoplankton, total, cells per milliliter
#  62360  - Pheophytin a, phytoplankton, micrograms per liter
#  70950  - Biomass to chlorophyll ratio, periphyton, number
#  70953  - Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter
#  70957  - Chlorophyll a, periphyton, chromatographic-fluorometric method, milligrams per square meter
#  70958  - Chlorophyll b, periphyton, chromatographic-fluorometric method, milligrams per square meter
#
# Description of sample_start_time_datum_cd:
# CST  - Central Standard Time
# CDT  - Central Daylight Time
#
# Description of tm_datum_rlbty_cd:
# K  - Known
# T  - Transferred
#
# Description of coll_ent_cd and anl_ent_cd:
# USGS  - U.S. Geological Survey
# USGS-WRD  - U.S. Geological Survey-Water Resources Discipline
# USGSKSWC  - USGS - Kansas Water Science Center
# USGSKYWC  - USGS - Kentucky Water Science Center
# USGS  - U.S. Geological Survey
# USGS-WRD  - U.S. Geological Survey-Water Resources Discipline
# USGSKSWC  - USGS - Kansas Water Science Center
# USGSNWQL  - USGS-National Water Quality Lab, Denver, CO
#
# Description of medium_cd:
# WS  - Surface water
#
# Description of tu_id:
# https://www.itis.gov/
#
# Description of body_part_id:
#
# Description of remark_cd:
# <  - Less than
# E  - Estimated
#
# Description of val_qual_tx:
# @  - holding time exceeded
# b  - value extrapolated at low end
# c  - see result comment
#
# Description of meth_cd:
# 00050  - Plant pigments, sonication & 445
# ALGOR  - Computation by NWIS algorithm
# FL008  - Chlorophyll a,phyto,fluorometric
# FL011  - Pheophyton a, phyto,fluorometric
#
# Description of dqi_cd:
# A  - Historical data
# R  - Reviewed and approved
# S  - Provisional
#
# Description of rpt_lev_cd:
# MRL  - Minimum reporting level
#
# Data for the following sites are included:
#  USGS 03303280 OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN
#
agency_cd	site_no	sample_dt	sample_tm	sample_end_dt	sample_end_tm	sample_start_time_datum_cd	tm_datum_rlbty_cd	coll_ent_cd	medium_cd	tu_id	body_part_id	parm_cd	remark_cd	result_va	val_qual_tx	meth_cd	dqi_cd	rpt_lev_va	rpt_lev_cd	lab_std_va	anl_ent_cd
5s	15s	10d	5d	10d	5d	3s	1s	8s	3s	11s	11s	5s	1s	12s	5s	5s	1s	12s	6s	11s	8s
USGS	03303280	1974-10-31	13:00			CST	T		WS			60050		1200			A				
USGS	03303280	1974-11-25	14:30			CST	T		WS			00572		3.10			A				
USGS	03303280	1974-11-25	14:30			CST	T		WS			00573		6.200			A				
USGS	03303280	1974-11-25	14:30			CST	T		WS			32226		0.200			A				
USGS	03303280	1974-11-25	14:30			CST	T		WS			32228		0.100			A				
USGS	03303280	1974-11-25	14:30			CST	T		WS			49954		3.10		ALGOR	A				
USGS	03303280	1974-11-25	14:30			CST	T		WS			60050		4300			A				
USGS	03303280	1974-12-23	16:45			CST	T		WS			60050		2800			A				
USGS	03303280	1975-01-30	12:15			CST	T		WS			60050		1700			A				
USGS	03303280	1975-03-03	15:20			CDT	T		WS			60050		2100			A				
USGS	03303280	1975-03-26	13:00			CDT	T		WS			60050		1200			A				
USGS	03303280	1975-04-17	11:50			CDT	T		WS			60050		1100			A				
USGS	03303280	1975-05-14	12:50			CDT	T		WS			60050		950			A				
USGS	03303280	1975-06-11	12:30			CDT	T		WS			60050		2400			A				
USGS	03303280	1975-07-23	12:45			CDT	T		WS			00572		11.0			A				
USGS	03303280	1975-07-23	12:45			CDT	T		WS			00573		18.00			A				
USGS	03303280	1975-07-23	12:45			CDT	T		WS			32226		17.0			A				
USGS	03303280	1975-07-23	12:45			CDT	T		WS			32228		73.0			A				
USGS	03303280	1975-07-23	12:45			CDT	T		WS			49954		7.00		ALGOR	A				
USGS	03303280	1975-07-23	12:45			CDT	T		WS			60050		9400			A				
USGS	03303280	1975-08-28	13:15			CDT	T		WS			00572		17.0			A				
USGS	03303280	1975-08-28	13:15			CDT	T		WS			00573		46.00			A				
USGS	03303280	1975-08-28	13:15			CDT	T		WS			32226		29.0			A				
USGS	03303280	1975-08-28	13:15			CDT	T		WS			32228		94.0			A				
USGS	03303280	1975-08-28	13:15			CDT	T		WS			49954		29.0		ALGOR	A				
USGS	03303280	1975-08-28	13:15			CDT	T		WS			60050		1300			A				
USGS	03303280	1975-10-01	14:00			CDT	T		WS			60050		1000			A				
USGS	03303280	1975-10-29	12:00			CST	T		WS			60050		920			A				
USGS	03303280	1975-11-17	12:35			CST	T		WS			00572		110			A				
USGS	03303280	1975-11-17	12:35			CST	T		WS			00573		120.0			A				
USGS	03303280	1975-11-17	12:35			CST	T		WS			32226		4.10			A				
USGS	03303280	1975-11-17	12:35			CST	T		WS			32228		86.0			A				
USGS	03303280	1975-11-17	12:35			CST	T		WS			49954		10.0		ALGOR	A				
USGS	03303280	1975-11-17	12:35			CST	T		WS			60050		1700			A				
USGS	03303280	1975-12-17	12:20			CST	T		WS			00572		0.2000			A				
USGS	03303280	1975-12-17	12:20			CST	T		WS			00573		0.500			A				
USGS	03303280	1975-12-17	12:20			CST	T		WS			32226		0.300			A				
USGS	03303280	1975-12-17	12:20			CST	T		WS			32228		4.00			A				
USGS	03303280	1975-12-17	12:20			CST	T		WS			49954		0.300		ALGOR	A				
USGS	03303280	1975-12-17	12:20			CST	T		WS			60050		940			A				
USGS	03303280	1976-01-22	12:35			CST	T		WS			60050		1100			A				
USGS	03303280	1976-02-25	12:15			CST	T		WS			60050		1700			A				
USGS	03303280	1976-04-06	15:00			CST	T		WS			60050		1600			A				
USGS	03303280	1976-04-20	14:00			CST	T		WS			00572		1.80			A				
USGS	03303280	1976-04-20	14:00			CST	T		WS			00573		3.400			A				
USGS	03303280	1976-04-20	14:00			CST	T		WS			32226		0.400			A				
USGS	03303280	1976-04-20	14:00			CST	T		WS			32228		16.0			A				
USGS	03303280	1976-04-20	14:00			CST	T		WS			49954		1.60		ALGOR	A				
USGS	03303280	1976-04-20	14:00			CST	T		WS			60050		2200			A				
USGS	03303280	1976-05-12	12:15			CDT	T		WS			00572		24.0			A				
USGS	03303280	1976-05-12	12:15			CDT	T		WS			00573		33.00			A				
USGS	03303280	1976-05-12	12:15			CDT	T		WS			32226		1.62			A				
USGS	03303280	1976-05-12	12:15			CDT	T		WS			32228		97.0			A				
