#
# File created on 2021-12-08 23:44:35 EST
#
# U.S. Geological Survey
# 
# This file contains selected water-quality data for stations in the National Water 
# Information System water-quality database.  Explanation of codes found in this file are 
# followed by the retrieved data. 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
# To view additional data-quality attributes, output the results using these options:  
# one result per row, expanded attributes.  Additional precautions are at:
# https://help.waterdata.usgs.gov/tutorials/water-quality-data/help-using-the-water-quality-data-retrieval-system#Data_retrievals_precautions
#
#  agency_cd                  - Agency Code
#  site_no                    - USGS site number
#  sample_dt                  - Begin date
#  sample_tm                  - Begin time
#  sample_end_dt              - End date
#  sample_end_tm              - End time
#  sample_start_time_datum_cd - Time datum
#  tm_datum_rlbty_cd          - Time datum reliability code
#  coll_ent_cd                - Agency Collecting Sample Code
#  medium_cd                  - Sample Medium Code
#  tu_id                      - Taxonomic unit code
#  body_part_id               - Body part code
#  parm_cd                    - Parameter code
#  remark_cd                  - Remark code
#  result_va                  - Parameter value
#  val_qual_tx                - Result value qualifier code
#  meth_cd                    - Method code
#  dqi_cd                     - Data-quality indicator code
#  rpt_lev_va                 - Reporting level
#  rpt_lev_cd                 - Reporting level type
#  lab_std_va                 - Lab standard deviation
#  anl_ent_cd                 - Analyzing entity code
#
# The following parameters are included:
#  00572  - Biomass, periphyton, ash weight, grams per square meter
#  00573  - Biomass, periphyton, dry weight, grams per square meter
#  32226  - Chlorophyll b, periphyton, spectrophotometric method, uncorrected, milligrams per square meter
#  32228  - Chlorophyll a, periphyton, spectrophotometric method, uncorrected, milligrams per square meter
#  49954  - Biomass, periphyton, ash free dry mass, grams per square meter
#  51754  - Cyanobacteria 16S gene, water, DNA based, recoverable, copies per 100 milliliters
#  51755  - Microcystis 16S gene, water, DNA based, recoverable, copies per 100 milliliters
#  51756  - Microcystis-specific microcystin gene mcyE, water, DNA based, recoverable, copies per 100 milliliters
#  51758  - Dolichospermum-specific microcystin gene mcyE, water, DNA based, copies per 100 milliliters
#  51760  - Planktothrix-specific microcystin gene mcyE, water, DNA based, recoverable, copies per 100 milliliters
#  60050  - Phytoplankton, total, cells per milliliter
#  62360  - Pheophytin a, phytoplankton, micrograms per liter
#  70950  - Biomass to chlorophyll ratio, periphyton, number
#  70953  - Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter
#  70957  - Chlorophyll a, periphyton, chromatographic-fluorometric method, milligrams per square meter
#  70958  - Chlorophyll b, periphyton, chromatographic-fluorometric method, milligrams per square meter
#
# Description of sample_start_time_datum_cd:
# CST  - Central Standard Time
# CDT  - Central Daylight Time
#
# Description of tm_datum_rlbty_cd:
# K  - Known
# T  - Transferred
#
# Description of coll_ent_cd and anl_ent_cd:
# USCOEKSD  - Corps of Engineers, Kansas City District, MO
# USGS-WRD  - U.S. Geological Survey-Water Resources Discipline
# USGSNWQL  - USGS-National Water Quality Lab, Denver, CO
# USGSOHML  - USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)
#
# Description of medium_cd:
# WS  - Surface water
#
# Description of tu_id:
# https://www.itis.gov/
#
# Description of body_part_id:
#
# Description of remark_cd:
# <  - Less than
# E  - Estimated
# M  - Presence verified but not quantified
#
# Description of val_qual_tx:
# *  - sample was warm when received
# @  - holding time exceeded
# b  - value extrapolated at low end
# c  - see result comment
# d  - sample was diluted
# ~  - duplicates do not check (not within the acceptance limits)
#
# Description of meth_cd:
# 00050  - Plant pigments, sonication & 445
# ALGOR  - Computation by NWIS algorithm
# BAC66  - Cyanobacteria 16S rRNA genes
# BAC67  - Microsystis 16S rRNA genes, QPCR
# BAC68  - Microcystis mcyE toxin gene, DNA
# BAC70  - Dolichospermum sp mcyE 0.4, qPCR
# BAC72  - Planktothrix mcyE toxin gene,DNA
# FL008  - Chlorophyll a,phyto,fluorometric
# FL011  - Pheophyton a, phyto,fluorometric
#
# Description of dqi_cd:
# A  - Historical data
# R  - Reviewed and approved
#
# Description of rpt_lev_cd:
# MRL  - Minimum reporting level
#
# Data for the following sites are included:
#  USGS 06934500 Missouri River at Hermann, MO
#
agency_cd	site_no	sample_dt	sample_tm	sample_end_dt	sample_end_tm	sample_start_time_datum_cd	tm_datum_rlbty_cd	coll_ent_cd	medium_cd	tu_id	body_part_id	parm_cd	remark_cd	result_va	val_qual_tx	meth_cd	dqi_cd	rpt_lev_va	rpt_lev_cd	lab_std_va	anl_ent_cd
5s	15s	10d	5d	10d	5d	3s	1s	8s	3s	11s	11s	5s	1s	12s	5s	5s	1s	12s	6s	11s	8s
USGS	06934500	1974-04-22	12:00			CDT	K		WS			60050		3900			A				
USGS	06934500	1974-05-20	10:50			CDT	K		WS			60050		1100			A				
USGS	06934500	1974-06-18	11:30			CDT	K		WS			60050		2900			A				
USGS	06934500	1974-08-13	11:00			CDT	K		WS			60050		15000			A				
USGS	06934500	1974-09-12	12:00			CDT	K		WS			60050		14000			A				
USGS	06934500	1974-10-10	11:30			CDT	K		WS			60050		32000			A				
USGS	06934500	1974-11-07	12:00			CST	K		WS			60050		2000			A				
USGS	06934500	1974-12-04	12:00			CST	K		WS			60050		8200			A				
USGS	06934500	1975-01-13	12:00			CST	K		WS			60050		2400			A				
USGS	06934500	1975-02-12	10:30			CST	K		WS			60050		720			A				
USGS	06934500	1975-03-11	10:50			CDT	K		WS			60050		2200			A				
USGS	06934500	1975-04-10	11:50			CDT	T		WS			00572		0.4000			A				
USGS	06934500	1975-04-10	11:50			CDT	T		WS			00573		0.400			A				
USGS	06934500	1975-04-10	11:50			CDT	T		WS			32226		0.000			A				
USGS	06934500	1975-04-10	11:50			CDT	T		WS			32228		0.100			A				
USGS	06934500	1975-04-10	11:50			CDT	T		WS			49954		0.000		ALGOR	A				
USGS	06934500	1975-04-10	11:50			CDT	T		WS			60050		3100			A				
USGS	06934500	1975-05-05	11:30			CDT	K		WS			60050		17000			A				
USGS	06934500	1975-06-03	11:30			CDT	K		WS			00572		14.0			A				
USGS	06934500	1975-06-03	11:30			CDT	K		WS			00573		23.00			A				
USGS	06934500	1975-06-03	11:30			CDT	K		WS			32226		17.0			A				
USGS	06934500	1975-06-03	11:30			CDT	K		WS			32228		72.0			A				
USGS	06934500	1975-06-03	11:30			CDT	K		WS			49954		9.00		ALGOR	A				
USGS	06934500	1975-07-21	12:00			CDT	K		WS			60050		5000			A				
USGS	06934500	1975-08-21	10:50			CDT	K		WS			00572		19.0			A				
USGS	06934500	1975-08-21	10:50			CDT	K		WS			00573		22.00			A				
USGS	06934500	1975-08-21	10:50			CDT	K		WS			32226		12.0			A				
USGS	06934500	1975-08-21	10:50			CDT	K		WS			32228		75.0			A				
USGS	06934500	1975-08-21	10:50			CDT	K		WS			49954		3.00		ALGOR	A				
USGS	06934500	1975-08-21	10:50			CDT	K		WS			60050		28000			A				
USGS	06934500	1975-09-29	11:00			CDT	K		WS			60050		15000			A				
USGS	06934500	1975-10-30	11:00			CST	T		WS			60050		1700			A				
USGS	06934500	1975-11-25	11:00			CST	K		WS			00572		1.30			A				
USGS	06934500	1975-11-25	11:00			CST	K		WS			00573		2.300			A				
USGS	06934500	1975-11-25	11:00			CST	K		WS			32226		0.200			A				
USGS	06934500	1975-11-25	11:00			CST	K		WS			32228		7.20			A				
USGS	06934500	1975-11-25	11:00			CST	K		WS			49954		1.00		ALGOR	A				
USGS	06934500	1975-11-25	11:00			CST	K		WS			60050		3400			A				
USGS	06934500	1975-12-29	12:00			CST	K		WS			60050		490			A				
USGS	06934500	1976-01-20	10:30			CST	T		WS			60050		1300			A				
USGS	06934500	1976-02-18	11:00			CST	T		WS			60050		2100			A				
USGS	06934500	1976-03-18	11:00			CST	T		WS			00572		0.9000			A				
USGS	06934500	1976-03-18	11:00			CST	T		WS			00573		1.100			A				
USGS	06934500	1976-03-18	11:00			CST	T		WS			32226		0.000			A				
USGS	06934500	1976-03-18	11:00			CST	T		WS			32228		0.000			A				
USGS	06934500	1976-03-18	11:00			CST	T		WS			49954		0.200		ALGOR	A				
USGS	06934500	1976-03-18	11:00			CST	T		WS			60050		310			A				
USGS	06934500	1976-04-07	10:30			CST	T		WS			60050		5100			A				
USGS	06934500	1976-05-14	11:30			CDT	T		WS			00572		3.00			A				
USGS	06934500	1976-05-14	11:30			CDT	T		WS			00573		3.230			A				
USGS	06934500	1976-05-14	11:30			CDT	T		WS			32226		0.000			A				
USGS	06934500	1976-05-14	11:30			CDT	T		WS			32228		0.000			A				
USGS	06934500	1976-05-14	11:30			CDT	T		WS			49954		0.230		ALGOR	A				
USGS	06934500	1976-05-14	11:30			CDT	T		WS			60050		5600			A				
USGS	06934500	1976-06-03	11:00			CDT	K		WS			60050		4900			A				
USGS	06934500	1976-07-08	12:00			CDT	K	USCOEKSD	WS			60050		6500			A				
USGS	06934500	1976-08-26	11:30			CDT	K		WS			00572		49.2			A				
USGS	06934500	1976-08-26	11:30			CDT	K		WS			00573		61.40			A				
