# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-08 23:45:32 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06934500 Missouri River at Hermann, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06934500
#            TS   parameter     statistic     Description
#         75911       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	75911_00060_00003	75911_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06934500	1928-10-01	46100	A
USGS	06934500	1928-10-02	43400	A
USGS	06934500	1928-10-03	38500	A
USGS	06934500	1928-10-04	34600	A
USGS	06934500	1928-10-05	33800	A
USGS	06934500	1928-10-06	33800	A
USGS	06934500	1928-10-07	33100	A
USGS	06934500	1928-10-08	31700	A
USGS	06934500	1928-10-09	31000	A
USGS	06934500	1928-10-10	30400	A
USGS	06934500	1928-10-11	29700	A
USGS	06934500	1928-10-12	29000	A
USGS	06934500	1928-10-13	28400	A
USGS	06934500	1928-10-14	27800	A
USGS	06934500	1928-10-15	27200	A
USGS	06934500	1928-10-16	26600	A
USGS	06934500	1928-10-17	29000	A
USGS	06934500	1928-10-18	36100	A
USGS	06934500	1928-10-19	41700	A
USGS	06934500	1928-10-20	45200	A
USGS	06934500	1928-10-21	53300	A
USGS	06934500	1928-10-22	58000	A
USGS	06934500	1928-10-23	66000	A
USGS	06934500	1928-10-24	65000	A
USGS	06934500	1928-10-25	61000	A
USGS	06934500	1928-10-26	60000	A
USGS	06934500	1928-10-27	53300	A
USGS	06934500	1928-10-28	49700	A
USGS	06934500	1928-10-29	42600	A
USGS	06934500	1928-10-30	40100	A
USGS	06934500	1928-10-31	47000	A
USGS	06934500	1928-11-01	46100	A
USGS	06934500	1928-11-02	43400	A
USGS	06934500	1928-11-03	36900	A
USGS	06934500	1928-11-04	43400	A
USGS	06934500	1928-11-05	71500	A
USGS	06934500	1928-11-06	83000	A
USGS	06934500	1928-11-07	87800	A
USGS	06934500	1928-11-08	89000	A
USGS	06934500	1928-11-09	90300	A
USGS	06934500	1928-11-10	85400	A
USGS	06934500	1928-11-11	72600	A
USGS	06934500	1928-11-12	60000	A
USGS	06934500	1928-11-13	53300	A
USGS	06934500	1928-11-14	50600	A
USGS	06934500	1928-11-15	48800	A
USGS	06934500	1928-11-16	48800	A
USGS	06934500	1928-11-17	74800	A
USGS	06934500	1928-11-18	175000	A
USGS	06934500	1928-11-19	274000	A
USGS	06934500	1928-11-20	305000	A
USGS	06934500	1928-11-21	308000	A
USGS	06934500	1928-11-22	305000	A
USGS	06934500	1928-11-23	288000	A
USGS	06934500	1928-11-24	257000	A
USGS	06934500	1928-11-25	227000	A
USGS	06934500	1928-11-26	202000	A
USGS	06934500	1928-11-27	175000	A
USGS	06934500	1928-11-28	153000	A
USGS	06934500	1928-11-29	139000	A
USGS	06934500	1928-11-30	130000	A
USGS	06934500	1928-12-01	119000	A
USGS	06934500	1928-12-02	110000	A
USGS	06934500	1928-12-03	100000	A
USGS	06934500	1928-12-04	93500	A
USGS	06934500	1928-12-05	81400	A
USGS	06934500	1928-12-06	69700	A
USGS	06934500	1928-12-07	60000	A
USGS	06934500	1928-12-08	54000	A
USGS	06934500	1928-12-09	50000	A
USGS	06934500	1928-12-10	46400	A
USGS	06934500	1928-12-11	41900	A
USGS	06934500	1928-12-12	38300	A
USGS	06934500	1928-12-13	35700	A
USGS	06934500	1928-12-14	34100	A
USGS	06934500	1928-12-15	39300	A
USGS	06934500	1928-12-16	47400	A
USGS	06934500	1928-12-17	61000	A
USGS	06934500	1928-12-18	92000	A
USGS	06934500	1928-12-19	116000	A
USGS	06934500	1928-12-20	120000	A
USGS	06934500	1928-12-21	111000	A
USGS	06934500	1928-12-22	95000	A
USGS	06934500	1928-12-23	81600	A
USGS	06934500	1928-12-24	68700	A
USGS	06934500	1928-12-25	59000	A
USGS	06934500	1928-12-26	50100	A
USGS	06934500	1928-12-27	41100	A
USGS	06934500	1928-12-28	36700	A
USGS	06934500	1928-12-29	36300	A
USGS	06934500	1928-12-30	36300	A
USGS	06934500	1928-12-31	43400	A
USGS	06934500	1929-01-01	44300	A
USGS	06934500	1929-01-02	41700	A
USGS	06934500	1929-01-03	39300	A
USGS	06934500	1929-01-04	34600	A
USGS	06934500	1929-01-05	32400	A
USGS	06934500	1929-01-06	32400	A
USGS	06934500	1929-01-07	33800	A
USGS	06934500	1929-01-08	36100	A
USGS	06934500	1929-01-09	38500	A
USGS	06934500	1929-01-10	40900	A
USGS	06934500	1929-01-11	45200	A
USGS	06934500	1929-01-12	52400	A
USGS	06934500	1929-01-13	57000	A
USGS	06934500	1929-01-14	64000	A
USGS	06934500	1929-01-15	61000	A
USGS	06934500	1929-01-16	56000	A
USGS	06934500	1929-01-17	54200	A
USGS	06934500	1929-01-18	52400	A
USGS	06934500	1929-01-19	48800	A
USGS	06934500	1929-01-20	47000	A
USGS	06934500	1929-01-21	45200	A
USGS	06934500	1929-01-22	44300	A
USGS	06934500	1929-01-23	43400	A
USGS	06934500	1929-01-24	42600	A
USGS	06934500	1929-01-25	41700	A
USGS	06934500	1929-01-26	40900	A
USGS	06934500	1929-01-27	40100	A
USGS	06934500	1929-01-28	39300	A
USGS	06934500	1929-01-29	38500	A
USGS	06934500	1929-01-30	37700	A
USGS	06934500	1929-01-31	36900	A
USGS	06934500	1929-02-01	36100	A
