#
# File created on 2021-12-08 23:38:28 EST
#
# U.S. Geological Survey
# 
# This file contains selected water-quality data for stations in the National Water 
# Information System water-quality database.  Explanation of codes found in this file are 
# followed by the retrieved data. 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
# To view additional data-quality attributes, output the results using these options:  
# one result per row, expanded attributes.  Additional precautions are at:
# https://help.waterdata.usgs.gov/tutorials/water-quality-data/help-using-the-water-quality-data-retrieval-system#Data_retrievals_precautions
#
#  agency_cd                  - Agency Code
#  site_no                    - USGS site number
#  sample_dt                  - Begin date
#  sample_tm                  - Begin time
#  sample_end_dt              - End date
#  sample_end_tm              - End time
#  sample_start_time_datum_cd - Time datum
#  tm_datum_rlbty_cd          - Time datum reliability code
#  coll_ent_cd                - Agency Collecting Sample Code
#  medium_cd                  - Sample Medium Code
#  tu_id                      - Taxonomic unit code
#  body_part_id               - Body part code
#  parm_cd                    - Parameter code
#  remark_cd                  - Remark code
#  result_va                  - Parameter value
#  val_qual_tx                - Result value qualifier code
#  meth_cd                    - Method code
#  dqi_cd                     - Data-quality indicator code
#  rpt_lev_va                 - Reporting level
#  rpt_lev_cd                 - Reporting level type
#  lab_std_va                 - Lab standard deviation
#  anl_ent_cd                 - Analyzing entity code
#
# The following parameters are included:
#  32318  - Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter
#  32320  - Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)
#  62360  - Pheophytin a, phytoplankton, micrograms per liter
#  70953  - Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter
#
# Description of sample_start_time_datum_cd:
# CST  - Central Standard Time
# EST  - Eastern Standard Time
#
# Description of tm_datum_rlbty_cd:
# K  - Known
# T  - Transferred
#
# Description of coll_ent_cd and anl_ent_cd:
# USGS  - U.S. Geological Survey
# USGS-WRD  - U.S. Geological Survey-Water Resources Discipline
# USGSKSWC  - USGS - Kansas Water Science Center
# USGS  - U.S. Geological Survey
# USGS-WRD  - U.S. Geological Survey-Water Resources Discipline
# USGSKSWC  - USGS - Kansas Water Science Center
# USGSNWQL  - USGS-National Water Quality Lab, Denver, CO
#
# Description of medium_cd:
# WS  - Surface water
#
# Description of tu_id:
# https://www.itis.gov/
#
# Description of body_part_id:
#
# Description of remark_cd:
# E  - Estimated
#
# Description of val_qual_tx:
# *  - sample was warm when received
# @  - holding time exceeded
# c  - see result comment
# d  - sample was diluted
# f  - sample field preparation problem
#
# Description of meth_cd:
# 00050  - Plant pigments, sonication & 445
# FL008  - Chlorophyll a,phyto,fluorometric
# FL011  - Pheophyton a, phyto,fluorometric
#
# Description of dqi_cd:
# R  - Reviewed and approved
# S  - Provisional
#
# Description of rpt_lev_cd:
# MRL  - Minimum reporting level
#
# Data for the following sites are included:
#  USGS 03378500 WABASH RIVER AT NEW HARMONY, IN
#
agency_cd	site_no	sample_dt	sample_tm	sample_end_dt	sample_end_tm	sample_start_time_datum_cd	tm_datum_rlbty_cd	coll_ent_cd	medium_cd	tu_id	body_part_id	parm_cd	remark_cd	result_va	val_qual_tx	meth_cd	dqi_cd	rpt_lev_va	rpt_lev_cd	lab_std_va	anl_ent_cd
5s	15s	10d	5d	10d	5d	3s	1s	8s	3s	11s	11s	5s	1s	12s	5s	5s	1s	12s	6s	11s	8s
USGS	03378500	2000-11-28	12:10			EST	T	USGS-WRD	WS			62360		4.4		FL011	R				
USGS	03378500	2000-11-28	12:10			EST	T	USGS-WRD	WS			70953		3.3		FL008	R				
USGS	03378500	2001-01-09	13:10			EST	T	USGS-WRD	WS			62360		1.0		FL011	R				
USGS	03378500	2001-01-09	13:10			EST	T	USGS-WRD	WS			70953		1.7		FL008	R				
USGS	03378500	2001-01-29	12:20			EST	T	USGS-WRD	WS			62360	E	1.7		FL011	R				
USGS	03378500	2001-01-29	12:20			EST	T	USGS-WRD	WS			70953	E	2.5		FL008	R				
USGS	03378500	2001-02-20	12:10			EST	T	USGS-WRD	WS			62360		5.2		FL011	R				
USGS	03378500	2001-02-20	12:10			EST	T	USGS-WRD	WS			70953		2.8		FL008	R				
USGS	03378500	2001-03-12	12:10			EST	T	USGS-WRD	WS			62360		6.8		FL011	R				
USGS	03378500	2001-03-12	12:10			EST	T	USGS-WRD	WS			70953		11.7		FL008	R				
USGS	03378500	2001-03-27	13:10			EST	T	USGS-WRD	WS			62360		42.1		FL011	R				
USGS	03378500	2001-03-27	13:10			EST	T	USGS-WRD	WS			70953		83.8		FL008	R				
USGS	03378500	2001-04-03	12:40			EST	T	USGS-WRD	WS			62360		56.9		FL011	R				
USGS	03378500	2001-04-03	12:40			EST	T	USGS-WRD	WS			70953		119		FL008	R				
USGS	03378500	2001-04-17	12:20			EST	T	USGS-WRD	WS			62360		22.9		FL011	R				
USGS	03378500	2001-04-17	12:20			EST	T	USGS-WRD	WS			70953		18.7		FL008	R				
USGS	03378500	2001-05-01	12:20			EST	T	USGS-WRD	WS			62360		50.0		FL011	R				
USGS	03378500	2001-05-01	12:20			EST	T	USGS-WRD	WS			70953		102		FL008	R				
USGS	03378500	2001-05-22	12:40			EST	T	USGS-WRD	WS			62360		55.7		FL011	R				
USGS	03378500	2001-05-22	12:40			EST	T	USGS-WRD	WS			70953		33.4		FL008	R				
USGS	03378500	2001-06-26	13:10			EST	T	USGS-WRD	WS			62360		67.9	f	FL011	S	0.1	MRL		
USGS	03378500	2001-06-26	13:10			EST	T	USGS-WRD	WS			70953		49.8	f	FL008	S	0.1	MRL		
USGS	03378500	2001-07-10	12:10			EST	T	USGS-WRD	WS			62360		51.2	f	FL011	S	0.1	MRL		
USGS	03378500	2001-07-10	12:10			EST	T	USGS-WRD	WS			70953		26.7	f	FL008	S	0.1	MRL		
USGS	03378500	2001-08-01	13:10			EST	T	USGS-WRD	WS			62360		64.5	f	FL011	S	0.1	MRL		
USGS	03378500	2001-08-01	13:10			EST	T	USGS-WRD	WS			70953		64.5	f	FL008	S	0.1	MRL		
USGS	03378500	2001-08-21	12:00			EST	T	USGS-WRD	WS			62360		45.2	f	FL011	S	0.1	MRL		
USGS	03378500	2001-08-21	12:00			EST	T	USGS-WRD	WS			70953		60.8	f	FL008	S	0.1	MRL		
USGS	03378500	2001-09-04	11:40			EST	T	USGS-WRD	WS			62360		80.8	f	FL011	S	0.1	MRL		
USGS	03378500	2001-09-04	11:40			EST	T	USGS-WRD	WS			70953		108	f	FL008	S	0.1	MRL		
USGS	03378500	2001-10-30	12:30			EST	T	USGS-WRD	WS			62360		5.5	f	FL011	S	0.1	MRL		
USGS	03378500	2001-10-30	12:30			EST	T	USGS-WRD	WS			70953		3.5	f	FL008	S	0.1	MRL		
USGS	03378500	2001-12-11	12:40			EST	T	USGS-WRD	WS			62360		4.7	f	FL011	S	0.1	MRL		
USGS	03378500	2001-12-11	12:40			EST	T	USGS-WRD	WS			70953		4.8	f	FL008	S	0.1	MRL		
USGS	03378500	2002-01-29	13:00			EST	T	USGS-WRD	WS			62360		5.6		FL011	S	0.1	MRL		
USGS	03378500	2002-01-29	13:00			EST	T	USGS-WRD	WS			70953		24.9		FL008	S	0.1	MRL		
USGS	03378500	2002-02-12	12:20			EST	T	USGS-WRD	WS			62360		2.5		FL011	S	0.1	MRL		
USGS	03378500	2002-02-12	12:20			EST	T	USGS-WRD	WS			70953		5.2		FL008	S	0.1	MRL		
USGS	03378500	2002-03-05	13:00			EST	T	USGS-WRD	WS			62360		4.6		FL011	S	0.1	MRL		
USGS	03378500	2002-03-05	13:00			EST	T	USGS-WRD	WS			70953		11.9		FL008	S	0.1	MRL		
USGS	03378500	2002-03-19	13:00			EST	T	USGS-WRD	WS			62360		5.0		FL011	S	0.1	MRL		
